entry,debet,credit
начислен ндфл,70,68
уплачен ндс в бюджет,68,51
уплачен ндс,68,51
закрыт счет общепроизводственных расходов,20,25
оборудование передано в монтаж,08,07
начислен ндс к уплате в бюджет,90,68
отражена выручка от продажи ос,62,91
произведена переоценка ппс ос,01,83
произведена уценка ппс ос,91,01
начислена амортизация ос,20,02
оприходованы безвозмездно полученные материалы,10,98
безвозмездно получены материалы,10,98
внесены в уставный капитал материалы,10,75
оприходованы на склад материалы,10,23
материалы переданы на склад,10,23
начислены премии,84,70
начислена премия,84,70
начислена материальной помощи,84,70
начислены премии и материальной помощи,84,70
удержано из зарплаты,70,76
начислены зарплаты,20,70
получены от покупателей авансы в счет будущей поставки готовой продукции,51,62
поставщик признал предъявленный ему штраф,76,91
гачислены отрицательные курсовые разницы по валютным счетам,76,91
предъявлены арендатору счета за аренду оборудования,76,91
признаны неустойки за нарушение договорных обязательств перед покупателями,91,76
признаны неустойки за нарушение договорных,91,76
начислены проценты по полученным кредитам,91,66
начислены проценты по выданным займам,66,91
оплаченные судебные издержки возмещены проигравшей стороной,51,76
при инвентаризации готовой продукции на складе выявлены излишки,43,91
получены безвозмездно основные средства,08,98
основные средства введены в эксплуатацию,01,08
